Temperature,Moisture,Humidity,Location
22.5,40,72,Lab A
24,,75,Lab B
,43,78,
25.5,44,,Lab C
26,,82,Lab A
,48,85,Lab B
22.5,40,72,Lab A
24,,75,Lab B
,,,
25.5,44,,Lab C
26,,82,Lab A
,48,85,Lab B
,,,
24,,75,Lab B
,43,78,
25.5,44,,Lab C
26,,82,Lab A
,48,85,Lab B
22.5,40,72,Lab A
24,,75,Lab B
,43,78,
25.5,44,,Lab C
26,,82,Lab A
,48,85,Lab B
22.5,40,72,Lab A
24,,75,Lab B
,43,78,
25.5,44,,Lab C
26,,82,Lab A
,48,85,Lab B
22.5,40,72,Lab A
24,,75,Lab B
,43,78,
25.5,44,,Lab C
26,,82,Lab A
,48,85,Lab B
22.5,40,72,Lab A
24,,75,Lab B
,43,78,
25.5,44,,Lab C
26,,82,Lab A
,48,85,Lab B
22.5,40,72,Lab A
24,,75,Lab B
,43,78,
25.5,44,,Lab C
26,,82,Lab A
,48,85,Lab B
22.5,40,72,Lab A
24,,75,Lab B
,43,78,
25.5,44,,Lab C
26,,82,Lab A
,48,85,Lab B
22.5,40,72,Lab A
24,,75,Lab B
,43,78,
25.5,44,,Lab C
26,,82,Lab A
,48,85,Lab B
22.5,40,72,Lab A
24,,75,Lab B
,43,78,
25.5,44,,Lab C
26,,82,Lab A
,48,85,Lab B
22.5,40,72,Lab A
24,,75,Lab B
,43,78,
25.5,44,,Lab C
26,,82,Lab A
,48,85,Lab B
22.5,40,72,Lab A
24,,75,Lab B
,43,78,
25.5,44,,Lab C
26,,82,Lab A
,48,85,Lab B
22.5,40,72,Lab A
24,,75,Lab B
,43,78,
25.5,44,,Lab C
,,,
,48,85,Lab B
22.5,40,72,Lab A
24,,75,Lab B
,43,78,
25.5,44,,Lab C
26,,82,Lab A
,48,85,Lab B
22.5,40,72,Lab A
24,,75,Lab B
,43,78,
25.5,44,,Lab C
26,,82,Lab A
,48,85,Lab B
22.5,40,72,Lab A
24,,75,Lab B
,43,78,
25.5,44,,Lab C
26,,82,Lab A
,48,85,Lab B
22.5,40,72,Lab A
24,,75,Lab B
,43,78,
25.5,44,,Lab C
26,,82,Lab A
,48,85,Lab B
22.5,40,72,Lab A
24,,75,Lab B
,43,78,
25.5,44,,Lab C
,,,
,48,85,Lab B
22.5,40,72,Lab A
24,,75,Lab B
,,,
25.5,44,,Lab C
26,,82,Lab A
,48,85,Lab B
22.5,40,72,Lab A
24,,75,Lab B
,43,78,
,,,
26,,82,Lab A
,48,85,Lab B
22.5,40,72,Lab A
24,,75,Lab B
,43,78,
25.5,44,,Lab C
26,,82,Lab A
,48,85,Lab B
